starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 09 14:22:24 2024	1731151344	0	473	473	473
Sat Nov 09 14:22:24 2024	1731151344	0	474	474	474
Sat Nov 09 14:22:22 2024	1731151342	0	474	474	474
Sat Nov 09 14:22:20 2024	1731151340	0	474	474	474
Sat Nov 09 14:22:20 2024	1731151340	0	476	476	475
Sat Nov 09 14:22:20 2024	1731151340	1	475	476	475
Sat Nov 09 14:22:22 2024	1731151342	0	477	477	476
Sat Nov 09 14:22:20 2024	1731151340	0	477	477	476
Sat Nov 09 14:22:21 2024	1731151341	0	477	477	477
Sat Nov 09 14:22:25 2024	1731151345	0	478	478	478
Sat Nov 09 14:22:20 2024	1731151340	0	478	478	478
Sat Nov 09 14:22:22 2024	1731151342	0	478	478	478
Sat Nov 09 14:22:20 2024	1731151340	0	478	478	478
Sat Nov 09 14:22:21 2024	1731151341	0	478	479	329
Sat Nov 09 14:22:20 2024	1731151340	0	479	479	478
Sat Nov 09 14:22:20 2024	1731151340	0	480	480	480
Sat Nov 09 14:22:25 2024	1731151345	0	480	481	480
Sat Nov 09 14:22:21 2024	1731151341	0	481	481	480
Sat Nov 09 14:22:27 2024	1731151347	0	481	481	470
Sat Nov 09 14:22:20 2024	1731151340	0	481	481	480
Sat Nov 09 14:22:25 2024	1731151345	0	482	482	481
Sat Nov 09 14:22:23 2024	1731151343	0	482	482	481
Sat Nov 09 14:22:22 2024	1731151342	0	483	483	483
Sat Nov 09 14:22:20 2024	1731151340	0	483	483	483
Sat Nov 09 14:22:26 2024	1731151346	0	483	483	483
Sat Nov 09 14:22:24 2024	1731151344	0	483	483	483
Sat Nov 09 14:22:23 2024	1731151343	0	483	483	483
Sat Nov 09 14:22:21 2024	1731151341	0	484	484	484
Sat Nov 09 14:22:23 2024	1731151343	0	484	484	484
Sat Nov 09 14:22:23 2024	1731151343	0	485	485	485
Sat Nov 09 14:22:26 2024	1731151346	0	487	487	486
Sat Nov 09 14:22:20 2024	1731151340	1	486	487	486
Sat Nov 09 14:22:26 2024	1731151346	0	487	487	486
Sat Nov 09 14:22:25 2024	1731151345	0	487	487	487
Sat Nov 09 14:22:25 2024	1731151345	0	489	489	488
Sat Nov 09 14:22:23 2024	1731151343	0	489	489	489
Sat Nov 09 14:22:21 2024	1731151341	0	489	489	489
Sat Nov 09 14:22:20 2024	1731151340	0	491	491	490
Sat Nov 09 14:22:21 2024	1731151341	0	492	492	491
Sat Nov 09 14:22:26 2024	1731151346	0	493	493	493
Sat Nov 09 14:22:25 2024	1731151345	0	493	493	493
Sat Nov 09 14:22:24 2024	1731151344	0	494	494	458
Sat Nov 09 14:22:26 2024	1731151346	0	494	494	459
Sat Nov 09 14:22:20 2024	1731151340	0	495	495	494
Sat Nov 09 14:22:26 2024	1731151346	0	495	495	494
Sat Nov 09 14:22:20 2024	1731151340	0	496	496	496
Sat Nov 09 14:22:25 2024	1731151345	0	497	497	496
Sat Nov 09 14:22:25 2024	1731151345	0	498	498	498
Sat Nov 09 14:22:22 2024	1731151342	0	498	498	498
Sat Nov 09 14:22:23 2024	1731151343	0	500	500	500
Sat Nov 09 14:22:21 2024	1731151341	0	501	501	500
Sat Nov 09 14:22:22 2024	1731151342	0	501	501	501
Sat Nov 09 14:22:25 2024	1731151345	0	502	502	502
Sat Nov 09 14:22:25 2024	1731151345	0	503	503	503
Sat Nov 09 14:22:25 2024	1731151345	0	503	503	503
Sat Nov 09 14:22:20 2024	1731151340	0	504	504	504
Sat Nov 09 14:22:23 2024	1731151343	0	504	504	504
Sat Nov 09 14:22:21 2024	1731151341	0	505	506	505
Sat Nov 09 14:22:26 2024	1731151346	0	506	506	505
Sat Nov 09 14:22:25 2024	1731151345	0	506	506	506
Sat Nov 09 14:22:21 2024	1731151341	0	506	506	506
Sat Nov 09 14:22:21 2024	1731151341	0	507	507	507
